miss
10.118007
8.95669
16.539
9.56826
9.7590
8.5003
15.521
16.436
1.43682
33.3886
17.784
31.237
14.48
13.756
15.067
15.063
12.5417
17.320
18.9119
18.1648
16.2404
10.0885
11.954
17.741
10.8724
4.7118
3.2599
12.451
8.87051
15.544
11.9584
8.2195
11.900
14.346
25.605
21.893
5.5940
10.137
12.026
19.996
8.76298
9.5735
14.9889
6.0782
18.175
15.1598
12.6836
16.19
20.356
15.938
26.351
22.166
21.034
32.755
11.368
17.731
8.186
10.428
27.187
35.639
8.7565
7.3277
19.15
14.3078
25.0021
3.8362
9.9694
9.75968
19.8578
12.35
25.254
33.42
9.8406
6.3235
16.8661
