time,tpx,px,mpx,tvx,vx,mbax
0.082000,41.040993,41.016634,nan,499.999722,499.999620,-0.035509
0.083000,41.541493,41.516634,nan,499.999713,499.999621,0.000930
0.084000,42.041993,42.016633,nan,499.999705,499.999608,-0.013368
0.085000,42.542492,42.516633,nan,499.999696,499.999595,-0.012993
0.086000,43.042992,43.016632,nan,499.999687,499.999609,0.014173
0.087000,43.543492,43.516632,nan,499.999678,499.999629,0.020125
0.088000,44.043991,44.016632,nan,499.999669,499.999643,0.013715
0.089000,44.544491,44.516631,nan,499.999659,499.999641,-0.001992
0.090000,45.044991,45.016631,nan,499.999650,499.999630,-0.010452
0.091000,45.545490,45.516631,nan,499.999640,499.999629,-0.001297
0.092000,46.045990,46.016630,nan,499.999630,499.999635,0.005622
0.093000,46.546490,46.516630,nan,499.999620,499.999599,-0.035673
0.094000,47.046989,47.016629,nan,499.999610,499.999607,0.008401
0.095000,47.547489,47.516629,nan,499.999600,499.999603,-0.004061
0.096000,48.047988,48.016629,nan,499.999589,499.999580,-0.023552
0.097000,48.548488,48.516628,nan,499.999579,499.999566,-0.014136
0.098000,49.048988,49.016628,nan,499.999568,499.999546,-0.019432
0.099000,49.549487,49.516627,nan,499.999557,499.999532,-0.014485
0.100000,50.049987,50.016627,nan,499.999546,499.999531,-0.000777
0.101000,50.550486,50.516626,nan,499.999535,499.999530,-0.002089
0.102000,51.050986,51.016626,nan,499.999523,499.999545,0.015301
0.103000,51.551485,51.516625,nan,499.999512,499.999537,-0.008848
0.104000,52.051985,52.016625,nan,499.999500,499.999548,0.011143
0.105000,52.552484,52.516625,nan,499.999488,499.999552,0.004049
0.106000,53.052984,53.016624,nan,499.999476,499.999548,-0.004381
0.107000,53.553483,53.516624,nan,499.999464,499.999537,-0.010650
0.108000,54.053983,54.016623,nan,499.999452,499.999537,-0.000843
0.109000,54.554482,54.516623,nan,499.999439,499.999527,-0.009604
0.110000,55.054982,55.016622,nan,499.999427,499.999522,-0.005748
0.111000,55.555481,55.516622,nan,499.999414,499.999490,-0.032010
0.112000,56.055980,56.016621,nan,499.999401,499.999496,0.005613
0.113000,56.556480,56.516621,nan,499.999388,499.999508,0.011640
0.114000,57.056979,57.016620,nan,499.999374,499.999504,-0.003796
0.115000,57.557478,57.516620,nan,499.999361,499.999495,-0.009060
0.116000,58.057978,58.016619,nan,499.999347,499.999486,-0.009595
0.117000,58.558477,58.516619,nan,499.999333,499.999478,-0.007495
0.118000,59.058976,59.016618,nan,499.999319,499.999438,-0.040560
0.119000,59.559476,59.516618,nan,499.999305,499.999432,-0.006520
0.120000,60.059975,60.016617,nan,499.999290,499.999427,-0.004712
0.121000,60.560474,60.516616,nan,499.999276,499.999394,-0.033486
0.122000,61.060974,61.016616,nan,499.999261,499.999395,0.000596
0.123000,61.561473,61.516615,nan,499.999246,499.999373,-0.022121
0.124000,62.061972,62.016615,nan,499.999230,499.999369,-0.003753
0.125000,62.562471,62.516614,nan,499.999215,499.999346,-0.023726
